user_id,week,nb_corrections
79201,0,2
69843,0,1
37247,0,1
74729,0,1
94796,0,1
69846,0,1
55962,0,1
96067,0,1
95227,0,1
94737,1,14
27300,1,13
63201,1,11
39999,1,10
69772,1,10
100441,1,10
91717,1,10
91721,1,10
97716,1,9
69924,1,9
95030,1,9
55962,1,8
37770,1,8
60488,1,8
94731,1,8
100284,1,8
94458,1,8
56262,1,8
63151,1,7
69809,1,7
18716,1,7
91501,1,7
95330,1,7
70249,1,7
56509,1,7
94733,1,7
91650,1,7
77588,1,7
74657,1,6
57672,1,6
69821,1,6
63017,1,6
84039,1,6
10438,1,6
55946,1,6
100337,1,6
42923,1,6
91780,1,6
27139,1,6
64216,1,6
97894,1,6
25754,1,6
60305,1,5
40101,1,5
73377,1,5
77465,1,5
94664,1,5
91709,1,5
91573,1,5
69805,1,5
100369,1,5
94396,1,5
94793,1,5
91642,1,5
94360,1,5
37518,1,5
77475,1,5
60437,1,5
97579,1,5
74137,1,5
91720,1,5
37094,1,5
63009,1,5
69882,1,5
57953,1,5
50179,1,5
26889,1,4
94547,1,4
59499,1,4
75965,1,4
84167,1,4
61764,1,4
96025,1,4
94818,1,4
56831,1,4
77615,1,4
69954,1,4
97965,1,4
40107,1,4
91730,1,4
50144,1,4
96996,1,4
95312,1,4
95308,1,4
97567,1,4
97802,1,4
63358,1,4
39209,1,4
76020,1,4
62927,1,4
83693,1,4
60213,1,4
84195,1,4
40261,1,4
97715,1,4
85664,1,4
97557,1,4
61903,1,4
91785,1,4
96067,1,4
25840,1,4
56327,1,4
94442,1,4
68857,1,4
94402,1,4
94682,1,4
73367,1,4
95963,1,4
74579,1,4
55956,1,4
96005,1,4
95230,1,4
100305,1,4
63442,1,3
94452,1,3
64229,1,3
19178,1,3
37908,1,3
73436,1,3
79201,1,3
69868,1,3
95082,1,3
20842,1,3
92712,1,3
83675,1,3
94688,1,3
97523,1,3
69875,1,3
100458,1,3
91758,1,3
94338,1,3
91480,1,3
56048,1,3
91732,1,3
97663,1,3
74749,1,3
100356,1,3
91893,1,3
77644,1,3
69832,1,3
95340,1,3
69932,1,3
20904,1,3
60072,1,3
56077,1,3
63004,1,3
94551,1,3
95263,1,3
76073,1,3
91747,1,3
12560,1,3
91536,1,3
94524,1,3
50259,1,3
94708,1,3
86257,1,3
94560,1,3
94550,1,3
64228,1,3
69892,1,3
50142,1,3
79223,1,3
97564,1,3
56361,1,3
94447,1,3
60485,1,3
97520,1,3
91753,1,3
91757,1,3
94391,1,3
100395,1,3
73423,1,3
100461,1,3
74705,1,3
100402,1,3
76006,1,3
14634,1,3
94882,1,3
100291,1,3
74725,1,3
73343,1,3
97547,1,3
100405,1,3
71662,1,3
20252,1,2
75948,1,2
38014,1,2
86224,1,2
83737,1,2
76025,1,2
14595,1,2
16020,1,2
75991,1,2
100385,1,2
83975,1,2
96108,1,2
97823,1,2
57685,1,2
94666,1,2
91565,1,2
97551,1,2
91681,1,2
97610,1,2
96194,1,2
76722,1,2
86187,1,2
97650,1,2
91498,1,2
97607,1,2
95291,1,2
69933,1,2
73340,1,2
25780,1,2
74729,1,2
57926,1,2
20165,1,2
